source,place,comment
GoogleMaps,Alice Springs Desert Park,TheNomad.family had a wonderful day at Desert Park. You could literally spend the whole day there. There's a clear program with interesting talks and a bird show. There are also beautiful hiking trails and birdwatching spots. Even though it …
GoogleMaps,Alice Springs Desert Park,Get there before 10.15 so you can be seated before 10.30am for the bird show. What a highlight. The bird enclosures are well maintained and the nocturnal house is fabulous. Lots of great walking paths and natural environments. We lived our 3 hours there. Ohhhh and the $10 for a picture with the owl 🦉 was fabulous for us …
GoogleMaps,Alice Springs Desert Park,"We went on the way back from Simpsons Gap and spent approximately 3 hours including lunch at the cafe. We just made it in time to watch the morning bird show which was really good. There wasn't many animals, we saw some birds we hadn't seen …"
GoogleMaps,Alice Springs Desert Park,Such an awesome place. The bird show is sensational! An absolute must do! …
GoogleMaps,Alice Springs Desert Park,"Fabulous place to visit for a few hours. Displays all life in desert with great shows birds, dingoes, flora & fauna, nocturnal house, native displays & food, aquarium. Jeremy was excellent & Bill great. $10 hire of scooters to get around to. Great food also. A MUST to visit in Alice Springs."
GoogleMaps,Alice Springs Desert Park,"Had a great time visiting this beautiful park, the animals were all up close and the eagle experience was incredible. Make sure you do the talks, the staff are entertaining and informative."
GoogleMaps,Alice Springs Desert Park,Its great here. Unfortunately we didn't have time to visit during the day but we dis the nocturnal animals tour. Very well worth. This kids would love it!
GoogleMaps,Alice Springs Desert Park,TAKE YOUR KIDS THERE. Well the ones that like animals. Spend a whole day there as there is a whole day program. Lots and lots of birds. And reptile. And nocturnals. And if possible do the night tour too. Nice botanicals too to look at with an amazing backdrop of the mountains. Beautiful happy staff and beautiful healthy animals ❤️
GoogleMaps,Alice Springs Desert Park,"Wow, yum, I will never be eating a tart again if it doesn't have ants in it, that's how inert and drudging that was, also what would you call this structure in the woods, it gave me a sense of purpose and I'd like to know more about it, also describe the tool bus."
GoogleMaps,Alice Springs Desert Park,The Alice Springs Festival of lights was an amazing event. It was so nice to see so many people supporting this event. I thoroughly recommend people to visit the festival of lights and enjoy the rich culture of the Northern Territory outback.
GoogleMaps,Alice Springs Desert Park,My wife and I have been here twice and loved it both times. We did the Nocturnal tour last night with my wife's parents and our son... and it's absolutely one of the coolest and most unique experiences. Highly recommend.
GoogleMaps,Alice Springs Desert Park,Is a must go place if you are visiting Alice Springs! Wonderful time there. …
GoogleMaps,Alice Springs Desert Park,Really enjoyed this park. Make sure to see the bird show but also they have a great nocturnal shed plus lots of smaller bird enclosures but the highlight for me was the big walk in bird enclosure next to the aquarium. Could have stayed …
GoogleMaps,Alice Springs Desert Park,LOVED IT. There's even a bike trail so the bike riders can easily go there (as long as the sun is not scorching.) I was awestruck by McDonnell range in the background. They also have a wide variety of plants and animals. The souvenir shop …
GoogleMaps,Alice Springs Desert Park,"Plan for 2 hours, they open at 7.30am , get there early, action starts at 9 am but you can buy food and drink or relax, read the day post to find out when things are happening, bring a hat and water, fly were bad the day we were there, so buy a fly net."
GoogleMaps,Alice Springs Desert Park,"came in the summer so there weren’t many visitors, with majority in the morning. lovely guide shared her wealth of knowledge with us throughout the morning and the exhibits were all really cool! plenty of aviaries and a few enclosures with …"
GoogleMaps,Alice Springs Desert Park,Good experience during our visit to the park. The bird feeding is definitely the highlight of the park but unfortunately it doesn’t go for long. The only negative I can mention is the staff don’t stick to the times as shown on their handout …
GoogleMaps,Alice Springs Desert Park,We had the most amazing day!!! The keepers were all so knowledgeable and clearly happy to be doing their jobs. The grounds and amenities are immaculate!!! Brilliant place to spend a day whilst in Alice Springs. Do not miss out on this gem!
GoogleMaps,Alice Springs Desert Park,"If you are in Alice Spring, definitely a must visit. I went there early morning, riding bicycle (6 km from the city centre) and it was such an amazing experience. It offers a whole day programs for guide, short films and interations with …"
GoogleMaps,Alice Springs Desert Park,The desert park is an easy taxi ride from the centre of town. We arrived at 8:30 which was perfect to catch the various talks in and around the park. The nocturnal house was fabulous and we also loved the various walk-thru aviaries. The …
GoogleMaps,Alice Springs Desert Park,What is better then learning about aboriginal culture and the native animals we have in Australia even just in Alice Springs! I had such a great experience here. From the moment I walked in to grab a map to meeting some of the staff …
GoogleMaps,Alice Springs Desert Park,Great opportunity to see some local animals. The bird show is worth a visit.
GoogleMaps,Alice Springs Desert Park,Excellent place to spend a day in. Staff were friendly and helpful. Plenty of animals and birds to see. …
GoogleMaps,Alice Springs Desert Park,Great place to visit. Plenty of interaction Would definitely recommend.
GoogleMaps,Alice Springs Desert Park,"It's a bucket list place I have now ticked off and I highly recommend anyone who is visiting Alice Springs to come out to visit this park,it's not too far from the centre of town"
GoogleMaps,Alice Springs Desert Park,"Interesting if you have never been in a desert environment/museum. Looks like Arizona to me. Good show with barn owl. Extensive nocturnal house, but you can see many of the critters"
GoogleMaps,Alice Springs Desert Park,This is the place where the animals come alive. All Australian desert animals. The emu was the best one. This one was friendly. Plus their plush toy are good price. We manage to fit about $300 worth of aoft. Toya in a suitcase. Devnsh …
GoogleMaps,Alice Springs Desert Park,We did the nocturnal tour which they offer some nights. We had a lot of fun and saw a lot of the animals really up close. The echidna even came up right up to my son and brushed against his shoe. The guides were great and you can tell they love what they do and are passionate about it.
GoogleMaps,Alice Springs Desert Park,Very cool. Start at 0900 to catch all the guided tours. Bird show is awesome not to be missed.
GoogleMaps,Alice Springs Desert Park,Fantastic experience 👍🏻. The park is well worth a visit. The keepers and volunteers are a wealth of knowledge on the local flora and fauna including the traditional people of the area. Loved every bit of it …
