source,place,comment
TripAdvisor,Uluru-Kata Tjuta,"By which I mean 1) The Uluru base walk. Difficult to get the full perspective when you are up this close, but still magical to walk around it and although there are plenty of information plaques, it is worth doing it with a guide who can explain some of the dream time stories at the various points of interest as you go round. 2) The Sunset viewing platform. Spectacular and it doesn’t actually matter how many other people are watching it with you, it’s still magical. And one of the few attractions when you should constantly take pictures as the camera lens will detect the subtle changes in the colour of the rock better than the human eye. 3) The sunrise from the Kata Tjuta sunrise viewing platform. Yes, you see the sun rise behind Uluru but to be honest the colour changes of Kata Tjutu are probably even more impressive."
TripAdvisor,Uluru-Kata Tjuta,"Uluru is a special place which stands out brilliantly against the blue sky. We spent a day in the national park, visiting Uluru and Kata Tjuta formations and the visitor center. It's especially interesting how the formations look so different depending on your viewing angle."
TripAdvisor,Uluru-Kata Tjuta,"Incredible experience, beautiful scenery, beautiful people - did the Mala walk with James which was just awesome and James is so knowledgeable ! Definitely recommend .."
TripAdvisor,Uluru-Kata Tjuta,I did the 4 days Uluru tour with Lost in Australia. It was a very unique experience. Our tour guide Chloe did an amazing job. We did really nice hikes and campfires and Chloe explained a lot about the Aborigine culture. The meals were great and it was possible to eat vegetarian or vegan if requested. Sleeping in the swags was a challenge for me but it was great to try it - a real adventure. Plus the group was so welcoming and friendly! Thank you very much!
TripAdvisor,Uluru-Kata Tjuta,"Visiting Uluṟu is a must for every Australian. However we were disappointed in having to purchase a 3 day pass when we were only there for one day. The cultural centre is staffed by people from overseas, we would have liked to see the Indigenous Australians working there."
TripAdvisor,Uluru-Kata Tjuta,I did the 3 Day Adventure with Lost in Australia. The best trip I’ve done in Australia! Super well organised tour with pick up and drop off at plenty locations. The tour guides were really lovely and funny and ensured a good group spirit. Especially the evenings at the campfire and the sleeping under the stars made it a really unique experience.
TripAdvisor,Uluru-Kata Tjuta,"The Lost In Australia 7 Day Alice Springs to Darwin Ultimate Tour was an unforgettable adventure! My favourite tour out of many I’ve done. Every day was packed with breathtaking sights, from the iconic Uluru and Kings Canyon to the lush waterfalls of Kakadu and Litchfield. The guides Phoebe and Jason were knowledgeable, friendly, and made the trip fun and engaging. Camping under the stars and connecting with fellow travelers added to the experience. The itinerary was perfectly balanced with activities, cultural insights, and downtime. It’s the best way to see the heart of Australia’s Outback and Top End in one epic journey. I highly recommend it to anyone seeking true Aussie adventure!"
TripAdvisor,Uluru-Kata Tjuta,"The Lost ins Australia 3 Day and 3 night tour was absolutely fabulous! I highly recommend flying in and out of Yulara if you want to avoid long bus rides but I personally enjoyed them with nice stops to see Emus. Winter is also perfect to sleep in the swags and gaze at the night sky. Ther will be less animals and better temperatures for the lovely Kings Canyon hike anyways and the sleeping bags are warm enough. Food, spirits and the Tour Guide Ryan were outstandig and I would do this tour again! The sunrise walk around Uluru is one of my favorite Australian memories :)"
TripAdvisor,Uluru-Kata Tjuta,"5 day trip to Uluru and around the outback This was my first trip to the Australian outback and it was amazing and makes me look forward to more! I covered two national parks during this trip: Uluru-Kata Kjuta and Watarrka. There are 3 primary sites: - Uluru - Ayer’s rock - Kata Tjuṯa - Kings Canyon My favourite was the King’s Canyon. And if there was limited time, I would recco to do just that one! Each of these are walks, with different terrain and views. Each of these sites can be done via a tour service or yourself. The tours are either during sunrise or sunset, on an avg cos ~$200 per head. If going by yourself, you need to rent a car or atleast in Uluru/ Kata Kjuta, you can take a hop on-hop off bus. Am not sure abt the public transport option at King’s since we had a car. Besides these 3 sites, there are 2 art installations at Uluru and a camel farm with some farm animals that can be seen for free and a 45 minute camel ride that needs to be booked in advance. All tours and tickets can be booked the tourist centre in the resort. Park tickets have to be purchased additionally, which can only be done online. Uluru +KK park ticket is $38pp valid for 3 days ( extendable) ane King’s is $10 pp. The weather was amazing early June- avg temperature between 9 am to 5 pm was 16-17 degrees C, a light jacket was enough. Before and after, it was closer to 12-13. It was sunny through the day. Will share details of the accommodation post the itinerary below. Here’s what we did: ( 2 of us) Day 1: Landed in the afternoon, relaxed and went for the Drone show during sunset. It included unlimited wine and a cheese platter, which was good enough as dinner! The sunset was beautiful, while the drone show was ok. Some information was shared about the aboriginal people and their history but it was nothing different from the info available at the tourist centre and while the effort of putting up the installation was commendable, the show was quite plaid. Tour lasted 90 minutes. Day 2: Camel farm ( self) in the day and and Field of lights show after sunset. we chose the one without wine and canapés. It’s a set of 90,000 hand made lights on display. They take you there at night and the whole effect is great. But again, the info shared was boring and limited to how many lights were used, who made it and for how long has it been open. Amongst the drone show and this one, I’d say this was better. Day 3: we booked the hop on - hop off bus to Uluru ($49pp) and took the Sunrise pick up at 6.05 am. The coach takes you to a sunrise viewing area after which it drops you off to the start of a walk around Ayer’s rock.There are several walks across each site- you can either cover a full round or can do shorter walks. We started with the intention of starting at the Mala walk and completing the whole round but we were kinda bored after 2 hours and took the bus to go to the cultural centre instead. There was an awesome presentation by a senior aboriginal lady, supported by an English speaking gentleman and truly provided some insights about the people and their lives. The cafe at the centre was nice too and they served coffee and some rolls, wraps and pies. The sunrise was the highlight and I would certainly recco it. The walk was very easy- flat, on red sand, very quiet and also easily accessible by wheelchair. The Sunset can be viewed at the Sunset viewing point or even at a look around area near the resort. Day 4: We rented a car from the Ayer’s rock airport ( because all tours were full)and drove to Kata Kjuta. We did the full rim walk which took us a little under 3 hours at an easy pace. The views were astounding. The walk had pebbled paths and also involved climbing over the big rocks of Kata Tjuṯa. Post the walk, we drove to the Sunset viewing point closeby and then got back to the resort. Just a 30-35 minute drive. Day 5: we checked out and left at around 8 am for Kings canyon. We stopped for some food and rest and started the rim walk a little before 1 pm (else the drive takes not more than 3 hours) and took 2 hours and 40 mins. The walk, the views, the experience was just brilliant. You walk over several rocks which cannot be seen from the outside. You’d never guess what ur in for, till you get to the inside of the canyon. There were very few ppl along this trail, as all tours are only during sunrise and sunset. We ended the walk and then went over near the Discovery resort’s Lurkita lookout to see the sunset, with some drinks. There is also a light towers experience ( a light installation) but we didn’t choose that. There are also day and overnight tours available for King’s canyon from Uluru. Next day, we left at 9.30 am, stopped at King’s creek station to have breakfast (Amazing!!) and fuel up and drove back to the Ayer’s rock airport. Kings canyon was not part of our itinerary at first and this place was recommended by some folks who we met at Uluru. Am sooo glad they did! There is also an airport near King’s canyon. Accommodation: Ayer’s rock - only has one resort called the Ayer’s rock resort which comprises 4 hotels- Outback, Sails in the Desert, Emu walk apartments and The Lost Camel. Outback has a hotel and lodge/ dorm option. The others had only rooms. The outback dorm costs 60$ pp and had 4 beds ie 2 bunk beds. Very clean and comfy. Common bathrooms and showers for everyone including the lodge rooms. Outback had a bar, a fast food kiosk, a restaurant and a live band, a communal kitchen with bbq et al. From the looks of it, all the hotel rooms across the 4 seemed pretty basic, only the size of rooms changed. We thought Outback was most lively, we went around to try food at each restaurant across the resort. Staff everywhere were great. Kings canyon: we booked a room with Discovery. Clean room, had a TV, fridge, double bed and kettle. Common bathroom and showers, communal kitchen. Some tips: - Book in advance - tours, hop-on-hop-off buses get booked and have limited slots. So the earlier you book, better it is. The tourist centre shuts at 5 pm at Ayers. For Kings canyon, can book at the resort. - Face net for flies - there are LOADS of flies and they stick to ur face and body. It’s a task to keep them away and hike and not lose ur balance! Lots of people had purchased face nets to keep the flies away. - Car rental- we found that car rental is cheaper online than at the rental shops in the resort. FYI, we found that cars charge you a rental for a limited mileage, any additional mileage used beyond that is charged a fee. Eg we paid 220 a day for rental, had to return the car with a full tank and had to pay a fee of 25c per Km over 200 kms driven. Plus some location fee of 37$ + GST. Total car rental with fuel and excess etc for 48 hours cost us $740 - Super markets- The Ayer’s rock super market opens 9 am to 8 pm. Kings canyon is from 7 am- 7 pm. Both do not have alcohol. Stuff is 30-40% more expensive than in the city - Drinking Water is available to refill at resorts but tastes different. - Food: at Ayer’s, all the hotels have restaurants. There is hot roast chicken available at the supermarket too. And some pre packed salads, besides fresh fruits, veggies, cheese, yogurt, marinated meats, cookies, cup noodles, snacks. You can borrow a set of cutlery and cooking pots/knives from the reception ( atleast at Outback hotel) and cook it at the communal kitchen. At King’s, there is a sole restaurant that serves food and drinks. The store has some sandwiches, cup noodles, fruits and cheese. - Alcohol: only available at bars and restaurants, not in the super market. Outback hotel has a bottle shop from where you can buy alcohol ( wines, beers and hard liquor) - If you want to cover all 3 sites, the trip can be done in 3-4 days if you just make sure you book the tours in advance or have a car"
TripAdvisor,Uluru-Kata Tjuta,"What a beautiful experience. We did several hikes while we were here and they did not disappoint. My favorite thing was watching the sunset for both rocks on different nights. There are also vsrious tours and experiences to be had here. We did a star gazing tour and a camel tour. Both reccomended. The cultural center is very educational and my kids loved the area that was specifically created with children in mind. Additionally, the bathrooms are very clean and well maintained. Highly recommend this once in a lifetime experience!"
TripAdvisor,Uluru-Kata Tjuta,"We had rented a Camper Van. By Day 3, we knew a powered site was needed. Campervans require sealed roads, and our next location was the Ayer’s Rock Resort at Yulura. This is a 5.5 hour drive from Ormiston Gorge , unless you have 4WD capability, and even that requires the Merinee Pass to be opened. Refuelling in Alice Springs, we made a brief stop at the Art Gallery, before driving to Ayers’ Rock Resort (ARR) in time for Sunset. The sheer size of the rock is very impressive, and truly changes colour as the sun sets. ARR was our home for two nights and the powered site made a huge difference to our comfort. The facilities are first class, with Showers, laundry, bin bay and swimming pool. A shuttle bus service connects the campground to the three hotels in the complex, as to the Shopping village. Day 4 was taking on the Rock Base walk, which meant a 12.5 km hike around Uluru itself. If you show up at 10 AM, a local ranger will give a guided tour for the first 1.5 km or so, which is well worth it. The hike path is completely flat, but even so, you need to pack water for the journey. The rock does take on various ‘faces’ as you circumnavigate it, and once back in the carpark, it is wise to visit the Cultural Centre and café to rest the feet. Around 5 PM, cars and tour buses gather at two viewing sites within the Uluru National Park itself, which gives you a much closer sunset experience with the rock."
TripAdvisor,Uluru-Kata Tjuta,"An amazing national park, with so much to see! It covers the two ancient rock formations, Uluru and Kata Tjuta, and everything around and in between them. Places you should not miss: - Uluru at sunrise/ sunset - the place is just majestic in its beauty, - Kata Tjuta - there are several walks you can take there, Valley of the Winds was my favourite. - Kantju Gorge - preferably at sunset when it glows an intense red, - The cultural centre - a place to fully explore art/ handicraft and history of the Anangu people. Plan your adventures for early morning/ late afternoon, otherwise it gets scorchingly hot."
TripAdvisor,Uluru-Kata Tjuta,"Camping at Uluru with Lost In Australia was an unforgettable experience. The team was always available and supportive, even when unexpected situations arose, making us feel safe and well taken care of throughout the trip. Sleeping under the stars, surrounded by the incredible beauty of nature, was simply magical. Every moment felt authentic and deeply connected to the land. One of the highlights was exploring the breathtaking Kings canyon — a truly emotional and awe-inspiring part of the journey. I highly recommend this experience to anyone looking for a genuine adventure in Australia’s outback!"
TripAdvisor,Uluru-Kata Tjuta,"My partner and I chose Lost in Australia to visit the Red Centre, and we did well! The organization was impeccable, we were taken care of from A to Z, everything went very smoothly. The activities were interesting and varied, and we also had free time to relax in the pool. The best when it's hot in the afternoon. Our guide was very friendly and what's more, he was a great cook! We had a great time, and the portions were more than generous. In short, we spent 4 incredible days, between breathtaking landscapes, culture and hiking :) We highly recommend this tour to discover Uluru!"
TripAdvisor,Uluru-Kata Tjuta,"This was my second visit to Uluru, but the first time bringing my family—and it was an unforgettable experience. The sunrise and sunset viewing platforms are absolutely worth it. Just make sure to arrive at least 20 minutes early, as they tend to fill up quickly. One of the highlights for us was the free guided (Mala) walking tour, which we followed with the full base walk around Uluru. The path is flat and easy, and our 10-year-old managed it without any trouble. If you’re a runner, you’ll also spot a few others out early in the morning when the weather is cooler—a great time to enjoy the serenity of the area."
TripAdvisor,Uluru-Kata Tjuta,"Just finished the 4-day Uluru camping tour with Lost in Australia and it was absolutely incredible! We explored the iconic Uluru, the majestic domes of Kata Tjuta, and hiked through the breathtaking Kings Canyon. Camping in swags under the stars was such a unique and unforgettable experience—simple but magical. The food exceeded expectations—fresh, hearty, and way better than your usual camp meals. Big shoutout to our guide, Troy, who brought great energy, deep knowledge, and a good sense of humor that kept us all engaged. The group dynamic was amazing—everyone was friendly, fun, and up for adventure. Lost in Australia nailed the logistics, the vibes, and the overall experience. If you’re looking for an authentic way to experience the Red Centre with awesome people, beautiful landscapes, and a real connection to country, this is it. One of the best trips I’ve done in Australia!"
TripAdvisor,Uluru-Kata Tjuta,It was everything we hoped for. A truly magical place and glad that the Indiginous tribes can share its beauty with everyone and that it is a place to be respected
TripAdvisor,Uluru-Kata Tjuta,The views are amazing nice place love u Uluru. Nice weather and travel across the park very beautiful 😍 scene see you soon.
TripAdvisor,Uluru-Kata Tjuta,"We were in Yulara for 3 full days. We had a rental car and did the sunset and sunrise visits to the park. While I had not heard as much about Kata Tjuṯa it’s as impressive as Uluru. Do take the time to visit the cultural centre to learn about the history of the indigenous people. We learned a lot when we attended the daily presentation at the cultural centre. The Mala walk with a park ranger was also very informative. At the cultural centre you can see local artists and buy beautiful paintings at Walkatjara gallery (in my opinion more options than at the gallery in Yulara). We don’t buy much when we travel but we are taking home a beautiful dot painting. There’s also a small cafe and shop with purchases supporting the local community. I wish the hotels at Yulara did more to promote the cultural centre, after all visitors are there for the park."
