nama_tempat,user,review,rating
Nitmiluk,sharon noyes,"We came here for the 2 Gorge tour. Depending on the time of year you can do it in either 1 or 2 boats,  ours was 2 boats.  The guide is very knowledgeable about the area.  I have to say we really enjoyed the trip.  We picked the right time …",5
Nitmiluk,Miriam Naco,"Ideal place to go for a hike or if you’re into a relaxed scenic tour without the workout, they offer ferry and helicopter tours.  Very peaceful place with beautiful …",5
Nitmiluk,Mark Swan,We thoroughly enjoyed our time on the four-hour Three Gorges Tour operated by Nitmiluk Tours in June 2025.  We took the 9.00am tour on a Tuesday. …,5
Nitmiluk,Louise Alaimo,"It was an amazing place to visit. Definitely take the 2 hour river cruise. It was just beautiful with a stop at one of the gorges for a swim, so do take your swimsuit and have a dip.",5
Nitmiluk,Declan Dwyer,Unreal views. The tour guide we had was the best. Can't remember his name but his knowledge of the gorge and Aboriginal background made for a great experience.,5
Nitmiluk,Paul Pearson,"If in Nitmiluk you must try a gorge tour. I wish I did the kayak as I was told it was up current first then come back, but there is very little current. Lovely scenery and felt professional and safe!",4
Nitmiluk,sagar pantha,"The view from the top of Katherine Gorge is absolutely worth the climb. From Baruwei Lookout, you get a sweeping panorama of the gorge, river, and surrounding cliffs. Perfect spot for sunrise or sunset — peaceful, scenic, and unforgettable.",5
Nitmiluk,BJ Pearce,"A must-see if passing through or staying in Katherine. Book a gorge cruise online. There are varying cruises to choose from depending on your time and budget. All cruises are guided which provides the history of the gorge.
Ensure you stop by the visitor centre for a coffee, cold drink or meal.",5
Nitmiluk,Christophe Demouche,"I had a fantastic experience with Nitmiluk Tours! Holly and Russell were amazing guides. I really enjoyed Russell’s explanations of the history of the gorges and appreciated his great sense of humor. His jokes resonated with me, making the tour both educational and entertaining. Highly recommend!",5
Nitmiluk,Angela D,"Great experience. Very well organised and Rachael our guide and skipper was excellent- she shared insightful information about the culture, geology and history of the gorge and surrounding lands and she peppered her commentary with some dry …",4
Nitmiluk,Konrad Lenzinger,"Tory was an excellent, quirky guide. The Gorge is a visual feast, the short walk was very interesting and overall a great experience.",5
Nitmiluk,Teà Baldwin,Loved Katherine Gorge. The 2 hour river cruise was amazing. Highly recommend it. Tour guide was funny and informative.,5
Nitmiluk,Nicholas Mills,Loved our visit to Nitmiluk.  Did the 14km loop out to the 2nd lookout the 1st day and canoe trip up to the start of the 4th gorge 2nd day.,5
Nitmiluk,Victoria McFarlane,"We did the two gorge boat ride in the morning with a fantastic guide named Mahli. She was very knowledgeable, funny and friendly. She did an excellent job driving the boat in tricky conditions at times and spotting lots of wildlife for us. …",5
Nitmiluk,Kurt Johansen,"It's truly a remarkable place...
The videos are shortened so here are a few photos.  Just do it I you are up this way.",5
Nitmiluk,Geoffrey Probert,Well worth the time. Went in the dry season. Would be great to see in the wet.,5
Nitmiluk,Rosemary Seberry,Great natural gorge that can be accessed by cruise or canoe trip.  I did a sunset cruise with dinner and it was awesome. I also did helicopter flight to see all 13 gorges.,5
Nitmiluk,sashkow s,"Astonishing nature wonder. Spend a day there so you can see the crocks, the births, the moment.",5
Nitmiluk,Nina Harris,"Our guide was excellent. Informative as well as entertaining and he welcomed questions. We loved his droll sense of humour and deadpan delivery. Though we didn't see a crocodile, we were awed by the majesty of the sandstone cliffs. Saw some birds and a wallaroo.",5
Nitmiluk,Sharon Donnell,"Loved it. Unfortunately, due to the river rising, we couldn't get to the second gorged but they took us a waterfall we enjoyed.",5
Nitmiluk,Ann Kostos,"When staying in Katherine,  visit the Nimiluk Gorge and do the cruise, it is great.",5
Nitmiluk,Lindsay Monteith,The dinner cruise is simply superb.  Comfortable boats great guide and food to die for while floating blissfully down the gorge on the way home.  Bread was great but did fill you up a bit to the detriment of fully appreciating the lovely …,5
Nitmiluk,Darren Curtis,Fantastic scenery all round. You can walk from the info centre up many steps to a look out and/ or book a boat cruise or self guided canoe trip up the 3 gorges. Cost from $100 - $180 pp. Amazing chilled water tap at the toilets too!!,5
Nitmiluk,Pamela VanDerGulik,"We did the breakfast cruise, was nice but wish we had done the 3 gorges journey",5
Nitmiluk,Levente Győrösi,"I did the half day canoe trip and sunset cruise dinner.  The dinner was a great experience.  The food was amazing, and the view was spectacular. The guide was very knowledgeable. The canoe trip is a great activity. I would only do a half …",5
Nitmiluk,Neville Drake,"Exceptional!  The cruise itself was informative and breathtaking. Well worth the total cost. Then came the food. I am incredibly fussy but this was next level on what could be done on a boat based bbq. The food was divine.
Basically if you are in Katherine you would be a mug not to do this.",5
Nitmiluk,NL,"We went on a cruise up the Gorge and our tour leader was a fantastic young man (Langdon?) Who told us wonderful stories about the Gorge's history, the crocodiles and the structure of the Gorge. He gave us so much information in a very …",5
Nitmiluk,Joanne H,"Hiked up to the lookout, took our time. Well worth it for awesome views of the gorge",5
Nitmiluk,Dave Woodford,"We had a great experience on the boat trip along the gorge. Our tour leader was local man, Landon, who was absolutely fantastic. He explained many of the societal constructs of Indigenous culture; uses and benefits of a lot of the native flora. He was so clear and well spoken. Great.",5
Nitmiluk,W Wager,"Wowzers what a beautiful part of Australia. Great boat trip and all the walkways have been built to make it as easy as possible to access
But this requires medium fitness as there are lots of steps and it was over 40 degrees the day we visited. But so worth it.",5
Nitmiluk,Lee-Ann Brissett,We had a very pleasant cruise to the first two gorges. We discovered many interesting facts about the gorges and the creatures that live there.,5
Nitmiluk,Wendy Taylor,"Pre booked online 9am 2 Gorge and cultural tour. Easy drive in from Katherine Discovery caravan park, plenty of parking, all well signed including for those towing. …",4
Nitmiluk,Fabio Dioguardi,"We have been amazed by the breathtaking beauty of the landscapes along the gorge, enhanced by our guide’s outstanding storytelling. This guy was one of the best guides we’ve ever had—knowledgeable, clear, and hilarious, with perfectly timed …",5
Nitmiluk,Alicia Honey,Nitmiluk is a beautiful national park. I recommend all the walks and attractions. Take plenty of water and sun protection.,5
Nitmiluk,German Cerda,"Incredible place,
We did the boat cruise. Which It runs for nearly 3 hours. Our guide was an aboriginal man with such a knowledge of the area.
beautiful Gorge, amazing rock formations.",5
