nama_tempat,user,review,rating
Tjoritja / West MacDonnell National Park,Praful Shah,"One of the best parks to visit, plenty of gorges, excellent scenic walking paths. Plenty of places for accommodation We spent 5 days not completing all the places. I am coming back to complete the remaining places it is just beautiful and scenic",5
Tjoritja / West MacDonnell National Park,Aidan O'Dempsey,"Stunning! Make sure you have a parks pass when visiting & camping permit if staying overnight... Caravans, big USA made rigs, best of luck in the camp ground at Ormiston, it is a very tight space to swing big rigs.",4
Tjoritja / West MacDonnell National Park,Warren McEvoy,"Simpson's gap was well worth the trip back out as I ran out of time yesterday. Short easy walk, happened to see rock wallabies and a ton of finches.  The gap is stunning!  There is bike trail nearby that is 17km which would be cool to do also.  There are other trail walks to do also.",5
Tjoritja / West MacDonnell National Park,Aaron Askew,"This year is awesome because of all the rain they've had, full rivers and gorges to swim in lots of greenery,  so beautiful compared with 3 years ago when it was in drought",5
Tjoritja / West MacDonnell National Park,Brendan Millett,Amazing National Park. Full of great adventures. The Larapinta Trail is a must. Try one section or all 12.. each unique in it’s own way. Very special.,5
Tjoritja / West MacDonnell National Park,James McMahon,"Completely blown away by the natural beauty of this park. So many gorges, cliffs, and waterholes and so much aboriginal culture to learn about all while being extremely accessible.",5
Tjoritja / West MacDonnell National Park,Lynette English,"Stunning stunning and more stunning! So much to see and explore along this magnificent range. These are taken from the Mt Sonder Lookout, a few minutes from Glenn Helen Gorge overlooking the Finke River.",5
Tjoritja / West MacDonnell National Park,Derek,Very Amazing views from the top if you hike up the 13.8 Km track for the initial bit,5
Tjoritja / West MacDonnell National Park,Shirley Cleal,Awesome day out. Absolutely loved it. So much to see and lots of great walks.,5
Tjoritja / West MacDonnell National Park,Ethan Clune,"The national park has an array of natural attractions like gorges and waterholes that are worth exploring. We started early in the morning to avoid the heat, which was a good decision. Highlights for us were Standley Chasm and Ormiston …",5
Tjoritja / West MacDonnell National Park,Hubert Zumbach,"A ""must go"" when you are in Alice Springs. Wonderful landscape and interesting rock formations.",5
Tjoritja / West MacDonnell National Park,Filippo Gelada,The West MaDonnell ranges offer so much. They are the perfect location for a swim (in summer) and to hike in winter....There are many place to visit on the way and all of them are different. From Simpsons Gap just 30 min far from town to …,5
Tjoritja / West MacDonnell National Park,Y L (Holy Moses),"Much better than the famous touristical spots. Very surprising!
Great camp sites, walks and amazing landscape. And yes: not a holy water...you can swim! 🙂 …",5
Tjoritja / West MacDonnell National Park,Debs,Larapinta trail has so many amazing sites to visit,5
Tjoritja / West MacDonnell National Park,Kylie Bisson,Beautiful national park. Variety ohh different environments. Beautiful swimming holes and Bush walks,5
Tjoritja / West MacDonnell National Park,Mandelhart (Mandelhart),"If you can, explore this area in your own vehicle at your own pace. Well worth the drive, great sites to stop at and see.  3 lookouts give you the opportunity to rest and admire the scenery.",5
Tjoritja / West MacDonnell National Park,Jamie Kassulke,"Beautiful spot, short walk was a warm day when we went there recommend late afternoon visit",4
Tjoritja / West MacDonnell National Park,carroll stella,wow breathtaking a must well worth the drive 😍 …,5
Tjoritja / West MacDonnell National Park,Sue Dixon,Well worth a visit so much to explore,5
